# e(GeV/fm^3)  rho_B(1/fm^3)  c2_hat  zeta_hat(GeV/fm^3)  eta_hat(GeV/fm^3)
  1.000000e-02  3.722347e-03  1.277136e-01  8.680658e-04  1.412854e-03
  1.000000e-02  3.771325e-03  1.269020e-01  8.668135e-04  1.405757e-03
  1.000000e-02  3.820304e-03  1.260970e-01  8.654560e-04  1.398654e-03
  1.000000e-02  3.869282e-03  1.252986e-01  8.640048e-04  1.391544e-03
  1.000000e-02  3.918260e-03  1.245067e-01  8.624733e-04  1.384432e-03
  1.000000e-02  3.967238e-03  1.237209e-01  8.608460e-04  1.377313e-03
  1.000000e-02  4.016217e-03  1.229419e-01  8.591136e-04  1.370196e-03
  1.000000e-02  4.065195e-03  1.221686e-01  8.572824e-04  1.363069e-03
  1.000000e-02  4.114173e-03  1.214016e-01  8.553521e-04  1.355943e-03
  1.000000e-02  4.163151e-03  1.206404e-01  8.533258e-04  1.348807e-03
  1.000000e-02  4.212130e-03  1.198852e-01  8.512656e-04  1.341674e-03
  1.000000e-02  4.261108e-03  1.191357e-01  8.490976e-04  1.334535e-03
  1.000000e-02  4.310086e-03  1.183915e-01  8.468188e-04  1.327383e-03
  1.000000e-02  4.359064e-03  1.176530e-01  8.444565e-04  1.320237e-03
  1.000000e-02  4.408043e-03  1.169200e-01  8.420499e-04  1.313081e-03
  1.000000e-02  4.457021e-03  1.161923e-01  8.395229e-04  1.305921e-03
  1.000000e-02  4.505999e-03  1.154702e-01  8.369286e-04  1.298764e-03
  1.000000e-02  4.554977e-03  1.147528e-01  8.342855e-04  1.291594e-03
  1.000000e-02  4.603956e-03  1.140405e-01  8.314949e-04  1.284420e-03
  1.000000e-02  4.652934e-03  1.133332e-01  8.287081e-04  1.277240e-03
  1.000000e-02  4.701912e-03  1.126310e-01  8.257592e-04  1.270061e-03
  1.000000e-02  4.750890e-03  1.119332e-01  8.228310e-04  1.262870e-03
  1.000000e-02  4.799869e-03  1.112402e-01  8.197365e-04  1.255678e-03
  1.000000e-02  4.848847e-03  1.105521e-01  8.165896e-04  1.248484e-03
  1.000000e-02  4.897825e-03  1.098684e-01  8.133942e-04  1.241283e-03
  1.000000e-02  4.946803e-03  1.091888e-01  8.100802e-04  1.234073e-03
  1.000000e-02  4.995782e-03  1.085139e-01  8.067906e-04  1.226862e-03
  1.000000e-02  5.044760e-03  1.078432e-01  8.033720e-04  1.219646e-03
  1.000000e-02  5.093738e-03  1.071764e-01  7.998616e-04  1.212417e-03
  1.000000e-02  5.142716e-03  1.065141e-01  7.963287e-04  1.205193e-03
  1.000000e-02  5.191695e-03  1.058557e-01  7.927364e-04  1.197961e-03
  1.000000e-02  5.240673e-03  1.052013e-01  7.890621e-04  1.190722e-03
  1.000000e-02  5.289651e-03  1.045505e-01  7.853285e-04  1.183474e-03
  1.000000e-02  5.338630e-03  1.039035e-01  7.815210e-04  1.176221e-03
  1.000000e-02  5.387608e-03  1.032603e-01  7.776507e-04  1.168967e-03
  1.000000e-02  5.436586e-03  1.026206e-01  7.737183e-04  1.161704e-03
  1.000000e-02  5.485564e-03  1.019845e-01  7.697330e-04  1.154435e-03
  1.000000e-02  5.534543e-03  1.013515e-01  7.656769e-04  1.147154e-03
  1.000000e-02  5.583521e-03  1.007224e-01  7.615597e-04  1.139876e-03
  1.000000e-02  5.632499e-03  1.000964e-01  7.573639e-04  1.132590e-03
  1.000000e-02  5.681477e-03  9.947352e-02  7.531060e-04  1.125291e-03
  1.000000e-02  5.730456e-03  9.885372e-02  7.488692e-04  1.117990e-03
  1.000000e-02  5.779434e-03  9.823718e-02  7.445277e-04  1.110682e-03
  1.000000e-02  5.828412e-03  9.762328e-02  7.400700e-04  1.103361e-03
  1.000000e-02  5.877390e-03  9.701233e-02  7.356777e-04  1.096040e-03
  1.000000e-02  5.926369e-03  9.640423e-02  7.311129e-04  1.088707e-03
  1.000000e-02  5.975347e-03  9.579901e-02  7.265970e-04  1.081370e-03
  1.000000e-02  6.024325e-03  9.519618e-02  7.219174e-04  1.074019e-03
  1.000000e-02  6.073303e-03  9.459604e-02  7.173081e-04  1.066670e-03
  1.000000e-02  6.122282e-03  9.399836e-02  7.125789e-04  1.059307e-03
  1.000000e-02  6.171260e-03  9.340304e-02  7.077547e-04  1.051932e-03
  1.000000e-02  6.220238e-03  9.280993e-02  7.029361e-04  1.044550e-03
  1.000000e-02  6.269216e-03  9.221932e-02  6.980917e-04  1.037165e-03
  1.000000e-02  6.318195e-03  9.163062e-02  6.931813e-04  1.029769e-03
  1.000000e-02  6.367173e-03  9.104402e-02  6.882141e-04  1.022360e-03
  1.000000e-02  6.416151e-03  9.045951e-02  6.831800e-04  1.014942e-03
  1.000000e-02  6.465129e-03  8.987668e-02  6.780897e-04  1.007516e-03
  1.000000e-02  6.514108e-03  8.929587e-02  6.729507e-04  1.000084e-03
  1.000000e-02  6.563086e-03  8.871654e-02  6.678427e-04  9.926348e-04
  1.000000e-02  6.612064e-03  8.813873e-02  6.626259e-04  9.851757e-04
  1.000000e-02  6.661042e-03  8.756290e-02  6.573261e-04  9.777105e-04
  1.000000e-02  6.710021e-03  8.698811e-02  6.520818e-04  9.702286e-04
