# e(GeV/fm^3)  rho_B(1/fm^3)  c2_hat  zeta_hat(GeV/fm^3)  eta_hat(GeV/fm^3)
  1.000000e-02  0.000000e+00  2.183549e-01  5.293608e-04  1.927582e-03
  1.000000e-02  4.897868e-05  2.180153e-01  5.318102e-04  1.926344e-03
  1.000000e-02  9.795736e-05  2.171083e-01  5.383384e-04  1.923028e-03
  1.000000e-02  1.469360e-04  2.158427e-01  5.473720e-04  1.918356e-03
  1.000000e-02  1.959147e-04  2.143792e-01  5.577136e-04  1.912896e-03
  1.000000e-02  2.448934e-04  2.128119e-01  5.686709e-04  1.906980e-03
  1.000000e-02  2.938721e-04  2.111901e-01  5.798565e-04  1.900765e-03
  1.000000e-02  3.428507e-04  2.095441e-01  5.910694e-04  1.894376e-03
  1.000000e-02  3.918294e-04  2.078885e-01  6.021872e-04  1.887858e-03
  1.000000e-02  4.408081e-04  2.062344e-01  6.131444e-04  1.881257e-03
  1.000000e-02  4.897868e-04  2.045877e-01  6.238914e-04  1.874589e-03
  1.000000e-02  5.387655e-04  2.029523e-01  6.344069e-04  1.867875e-03
  1.000000e-02  5.877441e-04  2.013307e-01  6.446783e-04  1.861126e-03
  1.000000e-02  6.367228e-04  1.997252e-01  6.546726e-04  1.854339e-03
  1.000000e-02  6.857015e-04  1.981357e-01  6.644181e-04  1.847532e-03
  1.000000e-02  7.346802e-04  1.965637e-01  6.738860e-04  1.840703e-03
  1.000000e-02  7.836588e-04  1.950099e-01  6.830875e-04  1.833866e-03
  1.000000e-02  8.326375e-04  1.934737e-01  6.920322e-04  1.827007e-03
  1.000000e-02  8.816162e-04  1.919553e-01  7.007068e-04  1.820135e-03
  1.000000e-02  9.305949e-04  1.904561e-01  7.091131e-04  1.813256e-03
  1.000000e-02  9.795736e-04  1.889741e-01  7.172606e-04  1.806363e-03
  1.000000e-02  1.028552e-03  1.875105e-01  7.251619e-04  1.799462e-03
  1.000000e-02  1.077531e-03  1.860645e-01  7.328068e-04  1.792557e-03
