35
1      211              !Pion (+)           100000000.0     Stable  
2      111              !Pion (0)           100000000.0     Stable  
3     -211              !Pion (-)           100000000.0     Stable  
4      321              !Kaon (+)           100000000.0     Stable  
5     -321              !Kaon (-)           100000000.0     Stable  
6      311              !Kaon (0)           100000000.0     Stable  
7     -311              !Anti Kaon (0)      100000000.0     Stable  
8      221              !eta                100000000.0     Stable  
9      223              !omega              23.23910522     ********
10     2212             !p                  100000000.0     Stable  
11    -2212             !Anti p             100000000.0     Stable  
12     2112             !n                  100000000.0     Stable  
13    -2112             !Anti n             100000000.0     Stable  
14      331             !eta prime (958)    986.5000610     ********
15      333             !phi (1020)         46.31455612     ********
16     3122             !Lambda             100000000.0     Stable  
17    -3122             !Anti Lambda        100000000.0     Stable  
18     3222             !Sigma (+)          100000000.0     Stable  
19    -3222             !Anti Sigma (+)     100000000.0     Stable  
20     3212             !Sigma (0)          100000000.0     Stable  
21    -3212             !Anti Sigma (0)     100000000.0     Stable  
22     3112             !Sigma (-)          100000000.0     Stable  
23    -3112             !Anti Sigma (-)     100000000.0     Stable  
24     3322             !Xsi (0)            100000000.0     Stable  
25    -3322             !Anti Xsi (0)       100000000.0     Stable  
26     3312             !Xsi (-)            100000000.0     Stable  
27    -3312             !Anti Xsi (-)       100000000.0     Stable  
28     3124             !Lambda 1520        12.64743614     ********
29    -3124             !Anti Lambda 1520   12.64743614     ********
30     3324             !Xsi (0) 1530       21.68131828     ********
31    -3324             !Anti Xsi (0) 1530  21.68131828     ********
32     3314             !Xsi (-) 1530       19.92929268     ********
33    -3314             !Anti Xsi (-) 1530  19.92929268     ********
34     3334             !Omega              100000000.0     Stable  
35    -3334             !Anti Omega         100000000.0     Stable  
