   0.100000E-02   0.121544E+00   0.117775E+00   0.121544E+00   0.415812E+00   0.415812E+00   0.419400E+00   0.419400E+00   0.460754E+00   0.661928E+00   0.808530E+00   0.808530E+00   0.809739E+00   0.809739E+00   0.808403E+00   0.861960E+00   0.963286E+00   0.963286E+00   0.101657E+01   0.101657E+01   0.101951E+01   0.101951E+01   0.102385E+01   0.102385E+01   0.111989E+01   0.111989E+01   0.112564E+01   0.112564E+01   0.130211E+01   0.130211E+01   0.130943E+01   0.130943E+01   0.131211E+01   0.131211E+01   0.143117E+01   0.143117E+01
   0.300000E-02   0.110368E+00   0.107084E+00   0.110368E+00   0.364769E+00   0.364769E+00   0.368090E+00   0.368090E+00   0.403287E+00   0.580563E+00   0.720133E+00   0.720133E+00   0.721263E+00   0.721263E+00   0.706458E+00   0.754298E+00   0.857307E+00   0.857307E+00   0.897044E+00   0.897044E+00   0.899742E+00   0.899742E+00   0.903740E+00   0.903740E+00   0.985212E+00   0.985212E+00   0.990435E+00   0.990435E+00   0.115128E+01   0.115128E+01   0.115498E+01   0.115498E+01   0.115729E+01   0.115729E+01   0.126312E+01   0.126312E+01
   0.500000E-02   0.104200E+00   0.101182E+00   0.104200E+00   0.335423E+00   0.335423E+00   0.338579E+00   0.338579E+00   0.370119E+00   0.533036E+00   0.667216E+00   0.667216E+00   0.668281E+00   0.668281E+00   0.646465E+00   0.690808E+00   0.792640E+00   0.792640E+00   0.825755E+00   0.825755E+00   0.828295E+00   0.828295E+00   0.832078E+00   0.832078E+00   0.905289E+00   0.905289E+00   0.910189E+00   0.910189E+00   0.106149E+01   0.106149E+01   0.106298E+01   0.106298E+01   0.106506E+01   0.106506E+01   0.116285E+01   0.116285E+01
   0.700000E-02   0.998974E-01   0.970662E-01   0.998974E-01   0.314312E+00   0.314312E+00   0.317339E+00   0.317339E+00   0.346259E+00   0.498639E+00   0.628002E+00   0.628002E+00   0.629011E+00   0.629011E+00   0.602899E+00   0.644641E+00   0.744343E+00   0.744343E+00   0.773478E+00   0.773478E+00   0.775898E+00   0.775898E+00   0.779516E+00   0.779516E+00   0.846906E+00   0.846906E+00   0.851566E+00   0.851566E+00   0.995732E+00   0.995732E+00   0.995582E+00   0.995582E+00   0.997494E+00   0.997494E+00   0.108935E+01   0.108935E+01
   0.900000E-02   0.965988E-01   0.939122E-01   0.965988E-01   0.297697E+00   0.297697E+00   0.300615E+00   0.300615E+00   0.327519E+00   0.471518E+00   0.596469E+00   0.596469E+00   0.597430E+00   0.597430E+00   0.568509E+00   0.608158E+00   0.705400E+00   0.705400E+00   0.731887E+00   0.731887E+00   0.734207E+00   0.734207E+00   0.737687E+00   0.737687E+00   0.800596E+00   0.800596E+00   0.805061E+00   0.805061E+00   0.943426E+00   0.943426E+00   0.941999E+00   0.941999E+00   0.943776E+00   0.943776E+00   0.103088E+01   0.103088E+01
   0.110000E-01   0.939303E-01   0.913622E-01   0.939303E-01   0.283958E+00   0.283958E+00   0.286779E+00   0.286779E+00   0.312069E+00   0.449094E+00   0.569970E+00   0.569970E+00   0.570888E+00   0.570888E+00   0.540081E+00   0.577970E+00   0.672660E+00   0.672660E+00   0.697269E+00   0.697269E+00   0.699505E+00   0.699505E+00   0.702864E+00   0.702864E+00   0.762147E+00   0.762147E+00   0.766446E+00   0.766446E+00   0.899878E+00   0.899878E+00   0.897422E+00   0.897422E+00   0.899087E+00   0.899087E+00   0.982227E+00   0.982227E+00
   0.130000E-01   0.916914E-01   0.892242E-01   0.916914E-01   0.272231E+00   0.272231E+00   0.274965E+00   0.274965E+00   0.298929E+00   0.429973E+00   0.547067E+00   0.547067E+00   0.547947E+00   0.547947E+00   0.515866E+00   0.552234E+00   0.644385E+00   0.644385E+00   0.667603E+00   0.667603E+00   0.669763E+00   0.669763E+00   0.673015E+00   0.673015E+00   0.729267E+00   0.729267E+00   0.733422E+00   0.733422E+00   0.862532E+00   0.862532E+00   0.859233E+00   0.859233E+00   0.860804E+00   0.860804E+00   0.940530E+00   0.940530E+00
   0.150000E-01   0.897609E-01   0.873818E-01   0.897609E-01   0.261997E+00   0.261997E+00   0.264651E+00   0.264651E+00   0.287503E+00   0.413307E+00   0.526875E+00   0.526875E+00   0.527722E+00   0.527722E+00   0.494796E+00   0.529823E+00   0.619493E+00   0.619493E+00   0.641645E+00   0.641645E+00   0.643737E+00   0.643737E+00   0.646893E+00   0.646893E+00   0.700552E+00   0.700552E+00   0.704578E+00   0.704578E+00   0.829823E+00   0.829823E+00   0.825827E+00   0.825827E+00   0.827315E+00   0.827315E+00   0.904045E+00   0.904045E+00
   0.170000E-01   0.880597E-01   0.857591E-01   0.880597E-01   0.252915E+00   0.252915E+00   0.255494E+00   0.255494E+00   0.277399E+00   0.398537E+00   0.508806E+00   0.508806E+00   0.509621E+00   0.509621E+00   0.476162E+00   0.509989E+00   0.597256E+00   0.597256E+00   0.618570E+00   0.618570E+00   0.620602E+00   0.620602E+00   0.623669E+00   0.623669E+00   0.675070E+00   0.675070E+00   0.678979E+00   0.678979E+00   0.800718E+00   0.800718E+00   0.796138E+00   0.796138E+00   0.797553E+00   0.797553E+00   0.871611E+00   0.871611E+00
   0.190000E-01   0.865332E-01   0.843037E-01   0.865332E-01   0.244747E+00   0.244747E+00   0.247258E+00   0.247258E+00   0.268344E+00   0.385275E+00   0.492443E+00   0.492443E+00   0.493230E+00   0.493230E+00   0.459468E+00   0.492208E+00   0.577161E+00   0.577161E+00   0.597801E+00   0.597801E+00   0.599776E+00   0.599776E+00   0.602762E+00   0.602762E+00   0.652169E+00   0.652169E+00   0.655971E+00   0.655971E+00   0.774490E+00   0.774490E+00   0.769420E+00   0.769420E+00   0.770771E+00   0.770771E+00   0.842415E+00   0.842415E+00
